Salmonella Heidelberg 13	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 7	Salmonella Heidelberg 3



0.0	0.004	0.004	0.004	0.004	0.005	0.004	0.003	0.0	0.48	0.005



0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.004	0.476	0.0



0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.005	0.476	0.0



0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.005	0.476	0.0



0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.005	0.476	0.0



0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.005	0.476	0.0



0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.005	0.476	0.0



0.003	0.004	0.004	0.004	0.004	0.004	0.004	0.0	0.003	0.48	0.004



0.0	0.004	0.005	0.005	0.005	0.005	0.005	0.003	0.0	0.48	0.005



0.48	0.476	0.476	0.476	0.476	0.476	0.476	0.48	0.48	0.0	0.476



0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.005	0.476	0.0



